,m49_un1,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
68,484,1050624.8176429276,1028115.8251471708,1015272.2897305639,1007384.2160963643,1004332.4662048433,999647.0419964585,1000029.829786174,1004319.3672552115,1013224.9577373334,1014718.9606374735,1005827.4847698628
69,508,318645.5246983002,316543.9409621381,312373.2298285585,310792.56561267225,310143.03449421935,309982.75069538574,309703.1733602169,310207.98134441464,309559.7777683324,307151.8434446456,302734.7283905898
70,512,167.64069481185945,145.53136895496797,136.14417087643366,140.618276959301,143.41457626038658,143.21218566052184,140.55052027932146,134.07267972711892,133.33697016033585,136.91867376379184,142.88819571009518
71,531,39.71691554761833,39.71691554761833,39.71691554761833,39.67073919894601,39.624561692482246,39.624561692482246,39.57838437271218,39.62456184183801,39.62456184183801,39.62456184183801,39.62456184183801
72,533,32.189533863312846,30.80632530215399,30.2530427730335,30.299150313211037,30.577210346865026,30.669417479444398,30.669417479444398,30.669417479444398,30.43888371569005,30.43888371569005,30.623311058653446
73,534,5.44014705207198,5.44014705207198,5.44014705207198,5.44014705207198,5.44014705207198,5.44014705207198,5.44014705207198,5.44014705207198,5.44014705207198,5.44014705207198,5.44014705207198
74,535,306.1118579398036,280.77092694745124,274.3096525280567,271.77163523644776,266.27728798466933,261.9848499877924,259.0298878420337,260.37306895064836,259.67764434125144,258.6604707876633,259.8609281954082
75,540,26109.052541435405,25745.365604031686,25686.371648807006,25578.724084742124,25578.1545352747,25575.298775097217,25692.46410296084,25735.513894723274,25928.919543233744,26246.813858129444,26389.030503168517
76,548,1623.0299330731366,1629.1518896419736,1630.91605565124,1640.5096467115663,1636.5215482168617,1638.20961058302,1628.7624408244337,1637.2954554762102,1637.0454558995982,1634.796221967044,1583.6712584081245
77,554,8888.485423699178,9257.528468272334,9250.447643471021,9272.349005266073,9264.476420302377,9264.810739148723,9132.968908843468,9122.474255627629,9084.431521306265,8978.5977117443,8744.07223438748
78,558,76483.56598037698,77179.11154944109,77418.85009626974,77882.40759198205,77634.42441599749,76319.11122933142,75833.32185496695,76055.64732496608,76293.4029581105,75667.60466182014,74897.99653040759
79,566,860149.1607506175,854914.4104853387,852013.4294575482,851522.1240207788,850288.1904144798,848142.3593535486,845146.7901638014,845583.1069155047,845073.8830649789,845668.6255209559,843953.0217420789
80,583,9083.575795910387,8817.792094014472,8801.24561898639,8791.016436314225,9016.669258722204,9068.587876571688,9068.587876571688,9068.587876571688,9068.587876571688,8818.204525600055,8794.42302582148
81,584,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236,32.544644706077236
82,585,5661.80182370935,5694.92120244263,5703.627286957859,5697.735027340376,5700.0236296817375,5700.33679913749,5702.887115195587,5734.600248845977,5737.76718630387,5703.278744950793,5687.714955496065
83,586,100002.19203534994,93578.35894477343,91599.09594597144,90953.50817613733,89579.3674947248,88786.0466823819,90060.21643064408,91997.38378942621,92764.86231540218,90006.36364900752,82788.62728669938
84,591,155821.90474317144,156483.91230299918,156376.06786464647,156452.8726650623,156247.7596623971,155938.25796323747,155671.492592621,155606.59904284962,155316.2937282967,154560.7368551182,153568.54021550008
85,598,457457.4400076812,458551.963466508,458117.32257016416,457965.54861445236,457166.97619187937,455649.7500159386,454692.9347493691,454558.4279555225,454471.9174727062,453683.54904923437,452595.92380941816
