,m49_un1,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
70,535,25.57888868302504,32.135346958239964,34.72095534806453,40.215302599843,44.55533196510645,47.51029299130127,46.309883208280766,46.910125891766754,47.87970900365233,46.6792515959075
71,540,647.9387136556215,946.6782684008925,1094.7921435985781,1065.7824117831158,1006.4404175810554,859.1240456175922,819.7023887512785,747.4254779969275,685.3962568511527,754.7397143427902
72,548,3.080058741683312,10.093607337213726,12.036672758660774,14.62275274104415,16.253834634644306,17.204514571296095,16.708397668786127,11.372420220001572,17.53573444007914,69.26304733133422
73,554,145.5575097261085,243.55153125411638,246.32093706876452,272.43790409245617,291.8027282062478,394.314159369678,408.91517954763555,447.979263913505,562.3283365712675,773.4640823009137
74,558,1545.6267904058018,2208.8374197773637,2041.4002359121484,1987.295070830588,2092.9202228381573,2170.334903186359,2176.8637112676806,2132.9843260445464,2841.6830067120036,3497.1394348808267
75,566,11344.67198096112,16587.738610013825,17243.097736673415,17587.356472629763,19498.615557784913,21630.939182368507,21787.183979164205,21668.514201861937,21908.74345841242,24353.494434140783
76,583,277.920086153473,295.42645262217576,304.402739458941,70.7018011423105,15.855476246484127,15.855476246484127,15.855476246484127,15.855476246484127,280.3369771623024,304.79447333992164
77,585,20.036286611136923,42.69114539366262,56.12342685384704,47.465651564852614,34.125449069755916,26.122637304348252,18.820487702888062,27.66680522025678,44.93796121599314,51.7233385367829
78,586,8074.16780570996,10652.777380372016,11221.85375577266,12463.885390573181,13391.457564947192,12856.389985941794,11498.283009858698,11072.079556868415,13384.931346878977,19583.690182836814
79,591,1433.254729247049,2219.6037975497093,2336.5319951865836,2573.103842691641,2830.3073359755845,3099.3312194635946,3184.2104082110445,3415.5345983798334,3947.3699297105427,4753.791517625201
80,598,3691.9182777323076,5615.119548804958,6063.375055307218,6878.827443034609,9005.114994585578,10258.73491456049,10762.767302323507,11327.453451941696,12529.021129117926,13696.455752458913
81,604,556.3148118695358,798.5864775424262,809.6639347660723,795.9137034086721,843.2662022967068,906.5799571542251,897.9098964930643,840.6277327683607,799.6912173057235,787.2988005927325
82,608,11815.790120550238,18342.997443529537,19424.386348454143,20083.671960912434,20270.289770047617,20819.69453469893,20994.58911415123,20384.894568171097,20070.29773293336,20617.34935816895
83,624,4660.885681760637,8574.831775833532,9698.122108987012,9916.463927943201,9648.985242283139,10872.532730125778,11886.382637891009,11425.497883741613,10635.623217602111,12148.439762614298
84,626,32.472634928882975,51.18408572564054,50.48403483097528,53.8888882070245,51.64845822797551,51.461740526409194,53.236277185072645,56.73561648942861,52.8622387732814,51.69443811547411
85,630,121.44456685352333,231.96424790865433,293.21909022698526,311.2003241857091,305.63205464980416,287.1714018456669,269.87747176660025,272.13456289011003,334.1111630445967,458.2899202548445
86,634,3.284382431393595,6.182065287025024,6.990921360060419,7.673318438421544,10.403289144219144,10.36173012330412,11.171157391314354,10.745137017672452,11.12874448009297,11.043520507041816
87,654,4678.577008838485,5966.84946644115,6009.71278255648,6361.808380909128,5568.22678634934,5058.477269140518,4648.141605073208,5025.480908546135,4954.332177453709,4497.18405762522
88,659,0.6766850508844353,1.6691545614917411,1.7594072903778957,2.255601227829917,2.6164428742312706,2.616465842943464,2.8871724979361053,2.1654251211570523,1.6240003383938504,1.5788579279300567
89,660,1.032621290200451,1.1673065491214878,1.1673327407736886,0.8530557068420384,0.3591765679092928,0.314278261469913,0.3142695494167782,0.7183345958816622,0.8530443723319684,0.7632475920854208
90,662,0.4127710932659835,1.1007408084198316,1.3759307334366526,1.513574264236067,1.467702902754553,1.8806243841529224,2.3852733938505066,1.7431231581177276,1.3761726931582572,1.7431898062663775
91,663,0.0,0.04492168076282626,0.04492168076282626,0.04492168076282626,0.04492168076282626,0.04492168076282626,0.04492168076282626,0.04492168076282626,0.08984341703895882,0.1347652643397103
92,670,1.1056328367466823,1.2438475290607307,1.2901120968005824,1.4740125965940938,1.3819272839781127,1.6124121449122029,1.6121583060449862,1.5659031197476052,1.3815991720765548,1.4741836215967248
93,682,881.6994462948322,1483.8376983643102,1523.9728367884109,1941.6345738897658,2427.7455693920756,2601.3452084205237,2555.492917953138,2566.15428037912,2601.1116375811644,2587.7136978779454
94,686,1449.8426579462143,2462.871904887101,2621.6100624801547,2969.2744685486923,3220.8524690092986,3717.0080832654303,3810.180127482504,3769.0873062878727,3445.526581297904,3740.2809448565317
95,690,0.18816359293451232,0.18816359293451232,0.14113164342440382,0.4704237090925609,0.9878726762844147,1.6465876491118596,1.6466767483957045,1.3644929327153108,0.988026222874886,1.0350698777716993
96,694,1686.5668708679493,3738.9640532316953,3436.075565954696,3623.781241675706,3296.578862145578,3736.997931023413,3674.8219042101477,4441.859609456857,6828.216977150166,8687.323899285833
97,702,56.09930140433211,85.9184924023523,80.2566015206315,75.96272463119621,94.59895023909735,107.05478664547195,116.67989617728358,120.50150421752078,128.05041151296126,132.10809054997023
98,704,8327.26415547094,12655.81995854423,13440.77344279173,13802.222077084976,15834.295350928192,17364.34802204682,18009.54765200254,16525.37182627403,16052.921765642994,18162.56233831549
99,706,123.36658978623015,175.34963475810264,181.22231011897918,191.83112824824607,203.42820969816725,206.52822076836512,210.4888187345505,213.64415922479068,235.87802485011323,258.85151202833947
100,710,130.33294095488287,184.08605236106007,191.28382585066933,193.97574166934658,198.02694329898767,217.16945575004334,214.8085375796181,213.8473774249864,203.03611947853744,210.91826772372528
101,729,436.7198010720019,593.2613959840627,629.5906321143286,689.8168236779297,771.7707312337558,812.1445061795704,784.7992619220915,787.9961069652337,831.29674079401,842.836794480467
102,740,5168.500043732307,6227.350149309053,6404.1840527726035,6083.323368143365,5973.51070335766,6137.92784419969,6658.355833732083,6899.252095561504,7315.905298322868,8255.212988533702
103,764,8599.467412377504,14010.35050241399,14965.244940583389,14849.130123187344,14849.943321979259,14759.982436831582,13981.34915414781,14663.280124150015,14104.071631955201,12493.316754331336
104,768,5.583579665586614,8.44572248833362,8.351884965995085,7.648116064314675,8.44578033250817,9.431106393836544,8.258086366630552,8.86800854943652,7.788806375683661,6.475028556341624
105,776,22.69086343688309,36.165966570127914,31.57986994549203,26.15825890605498,22.177016950710794,27.202279694431923,28.242647453857927,30.327160665158715,30.653245145809688,32.01955553747744
106,780,162.9520964597525,220.26303483152634,222.77880973873775,222.6222041518578,252.83637618242096,276.2323681996877,282.273677669505,229.16417225563927,219.20104800311276,334.1739967594584
107,784,302.0561478404592,503.0297769820653,553.8590792152454,629.7031755558717,646.3574353767483,654.6514768000461,646.6739660874457,639.5076592237858,615.7873577205356,619.8470552287922
108,796,190.17073829315814,289.0323847008026,299.3143477340491,318.7900064663523,301.5083416274835,303.76084179657414,299.3341050385891,298.61817997265075,279.5423604012273,285.41466453327104
109,818,77.07550335734612,92.74074803554973,92.87442290265463,93.64859679982641,96.63760650829371,94.77043417486178,93.38415479881493,90.32771623950788,88.22694563466806,71.46666143511024
110,834,2308.9033670028093,3714.799619945443,3611.5345711520195,3816.5985940578644,3970.6151308173257,4340.819154530026,4383.072002016092,4076.2768668804056,4125.686494864549,5197.476931017365
111,840,5384.952845066207,9279.751760891359,9828.14125976373,11820.421251014173,13672.762995500927,13938.480152489361,13644.720277211358,12529.69701977393,11433.315765686883,11351.727234418478
112,850,15.298954661186892,20.922429893489188,20.921347255968378,20.78578292541249,17.81699505870059,16.333472985367443,15.523608079168827,15.342754779530754,17.18829196454839,20.78332457678323
113,862,5469.5568647472255,7844.765152569194,8298.53695369752,8597.94894021556,9288.245314896134,9883.131993248127,9764.480100884108,9612.656118805542,9670.352041839424,10153.844572619531
114,882,1.5137153738222286,2.385266272024353,2.9356534900668554,3.3025417281569487,5.091251046995215,6.054120491115034,6.925298301330169,8.299477398551936,8.299341546489861,8.529156823580312
115,887,273.4868624871945,394.08001378009794,393.48203120016433,398.44467431358265,401.603352272153,428.8481714653952,440.1309680570547,463.8538568143858,462.84079739873977,500.53407362471415
116,999,8.736346987518829,17.128472297871546,17.896876187886363,18.717283849016702,18.02173173693499,18.79748350119878,19.478555745205732,22.66030206871629,24.26534877665361,24.679875798018468
