,index,m49_un1,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
42,81,288,1228.582817557306,2493.326894766549,2930.2581802172026,3383.8552132062728,3562.918171060855,3522.9202327144108,3376.255213667656,3264.443134059331,3360.373549080238,3592.4231777947793,4785.213021239666,5639.877607863156,5154.125555666058,4084.4156000077637,3375.257926835765,3223.750684786487,3307.4520748285145,3515.068454670323,3583.5421171466214,3850.6646659964363
43,86,308,2.613800115152857,5.644020569142678,5.643949485419052,5.941532831008035,4.694075327925042,4.159266937693337,3.3867418889693037,4.27898364690352,5.527170637289843,7.130974593270063,1.9609791209879834,5.406868499571934,5.703573598954511,6.3573342874433285,6.357286926167644,6.774091951488125,8.200003147568282,7.071074684025289,7.130376988015159,8.378316260087118
44,87,312,30.77654935271869,41.05549279308268,50.80821328087612,47.946182507361556,37.31567397345687,35.79626953657,35.85475267364503,37.43260266600165,46.0165402894448,54.01610100084056,35.38784523553252,43.56399252191013,40.64372254600037,39.18461974525928,34.63318407191043,31.42196170178332,30.253900668055106,26.923392714430022,30.65983080954064,38.13382418464107
45,88,316,0.0,0.0,0.0,0.0,0.3549723474572391,0.709938704560919,0.47329578563470265,0.887436658855437,1.3608888582659495,1.6567920558984441,0.0,0.0,0.0,0.0,0.295855453366467,0.8282982220202474,1.8932466854717849,2.129888006632431,1.8340853252715223,1.9523164294315847
46,89,320,435.7555701225009,696.04497927937,792.7880259685844,692.164839060902,616.1210493266522,640.8152345809486,677.5977728978951,746.139554222812,909.5377720976514,1046.782669510016,1021.8507184718519,1310.748253610382,1196.5040933392618,1076.3302048369399,1032.794947975261,975.274736174642,837.3940621093167,806.779867356122,987.2357797076991,1124.2973940309619
47,90,324,3294.7415780551805,4445.842768104475,5085.784579439144,4666.189686143397,4440.160915306907,4111.738952748133,4569.557285258526,4929.693615449934,5457.537187560281,5840.605945460026,3629.544073809774,7788.240329234357,7322.238434668632,7894.974455621249,8691.873055801529,10655.34702087299,10952.66706417952,11654.708903075727,13485.94689955918,14689.71410915405
48,91,328,1136.482897919153,1378.0383195024706,1451.0050515824623,1560.3507622594989,1811.9430017594198,2165.0779224732737,2258.727342719075,2285.0832575644145,2295.969934613543,2523.911677662757,1706.7904991605772,2166.8100034312824,2364.2599935893904,2538.1262308403184,3358.895025846451,3612.152045206739,3793.439256520264,4112.2618419261435,4406.665200765998,4881.7491274300155
49,92,332,232.79300373926134,277.6231610969885,289.9929293544744,290.7098598505347,295.001678248179,301.53724588977633,308.3470827780507,360.3125234635031,400.84010949948527,406.9298625070149,1282.1582319911968,1556.1890943124527,1559.4853146753524,1803.5925586584144,2163.8466744503053,2358.2781879480785,2303.6976386675688,2129.2677582943707,2041.3533882935462,2067.7211670488978
50,95,340,3105.3750506143497,4433.605721651663,4739.0187418935475,4283.689300365744,2349.42012531292,1754.933022375864,1984.2308844551749,2178.990472143803,2158.290097444326,2194.627472016834,2083.918844756802,2981.0865703604136,2844.8768889405997,2652.8104083875483,2788.6472184525014,2874.6700061922584,2669.8840827159333,2695.196926356456,3705.7366437944625,4637.419988661934
51,96,344,0.6753361203137292,1.2943728619555586,1.6320388455069672,1.6883178336009983,0.9004346841695414,0.4502235210688025,0.3376723402150021,0.3939537989027421,0.3939537989027421,0.22511586407767625,1.0692019140590854,1.238023256773242,1.5757060103222549,1.6319979847164774,3.9956374682744165,4.6146841832781185,3.9956094039386256,4.727222656640364,3.432855178813276,0.7315846576695169
