,region,name,1996_count,2007_count,2008_count,2009_count,2010_count,2015_count,2016_count,2017_count,2018_count,2019_count,2020_count,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
20,COD,Democratic Republic of the Congo,393617,393647,392133,391937,390215,390000,389575,389920,390466,391710,390937,23799.53602829059,23801.3480287757,23709.803133179204,23697.951937715403,23593.831735379095,23580.833701418138,23555.137086957522,23575.995983407072,23609.00932104964,23684.227577646074,23637.490225525242
21,DJI,Djibouti,14943,11743,10687,10461,10509,11237,11601,11540,11657,11752,11921,888.8133670721631,698.3333466307868,635.5296522476706,622.1064413167956,624.9843235671112,668.3569878269918,690.0574296992003,686.4481171722305,693.4177496682048,699.0687758014617,709.124177753032
22,DMA,Dominica,22,21,21,21,20,20,20,21,21,24,25,1.2893329174945718,1.230727078186006,1.230727078186006,1.230727078186006,1.1721212388774405,1.1721212388774405,1.1721212388774405,1.230727078186006,1.230727078186006,1.4065445961117025,1.465150435420268
23,DOM,Dominican Republic,341834,341148,338597,337885,333444,329763,327416,327590,328991,330568,331390,19658.46815040222,19618.591806528017,19471.61287987966,19430.833254100988,19175.893181262578,18964.551894806522,18829.72168776718,18839.846544474316,18920.267006157206,19010.80277745767,19057.983035487974
24,ECU,Ecuador,2624806,2522906,2472070,2458292,2452314,2467547,2470829,2471217,2475161,2495485,2496512,159407.24966549742,153220.58108958983,150133.93898876576,149297.38114460098,148934.54944120438,149859.74539203657,150058.7797630073,150082.23440565667,150321.59620875987,151555.90935259062,151618.30060260065
25,EGY,Egypt,5350,3575,3221,3217,3197,3129,3166,3202,3274,3323,3707,293.9134990137634,195.7863450716856,176.25659456502103,176.02985840951098,174.9252683484797,171.1309212682106,173.21334511249762,175.21733551176396,179.205966748137,181.91256564817945,203.22796920724576
26,SLV,El Salvador,632335,635968,639108,639375,636959,630965,629136,632528,632431,627832,624906,37429.4970078274,37644.582253395696,37830.46218482316,37846.2527550027,37703.23920030636,37348.418366597485,37240.14475293156,37440.949727659034,37435.21071190681,37162.96555260925,36989.81658645327
27,GNQ,Equatorial Guinea,422277,422923,422628,424053,424233,423637,421270,420438,419983,420991,421377,25662.099627610438,25701.359875921702,25683.435978808342,25770.03801940733,25780.977344405666,25744.75865270714,25600.91501196748,25550.353659803677,25522.700975926797,25583.959769482008,25607.420862381612
28,ERI,Eritrea,158646,134266,124052,125286,125054,125999,125455,127518,128085,126048,124728,9336.638148017812,7902.778548478135,7301.351275496374,7373.743937332064,7359.721876614496,7415.7752633973005,7383.675103827479,7504.972173471799,7538.084272993215,7418.783709876918,7341.373802419594
29,FJI,Fiji,835718,834746,836692,839192,839580,843674,839873,840319,838817,841636,840337,48571.467568900836,48514.85768809205,48628.285564045305,48774.332919909415,48797.076072408636,49035.529049212724,48813.68173933595,48838.27661544426,48750.435258984675,48915.38438255288,48840.5057341848
30,FRA,France,1680323,1650678,1658144,1667932,1673669,1708512,1727904,1738685,1743089,1745734,1757265,99288.6838995622,97533.05335203822,97993.15630617682,98594.71609201848,98940.63068191636,101048.87651641524,102213.83721965192,102863.0406098034,103106.64291778985,103229.07461958424,103913.95627035355
31,GAB,Gabon,2893832,2888442,2883138,2887038,2885154,2879363,2869067,2870850,2872929,2873980,2866863,175890.13336790385,175562.5548198409,175240.18804438933,175477.25937109173,175362.7625153837,175010.76432292364,174384.96831210345,174493.31653069274,174619.69226373907,174683.57098799516,174251.00017686634
32,GMB,Gambia,1036546,1050306,1048352,1050304,1048425,1039457,1032417,1035834,1042769,1044825,1039509,61334.1480690294,62148.219264467014,62032.544933922436,62148.01835830523,62036.8213631665,61506.28183371445,61089.742225051,61291.889207596294,61702.20134489336,61823.938472348294,61509.421241615215
33,GHA,Ghana,298629,239823,246604,261859,287046,301733,303578,299769,294487,294941,294362,18067.123860019125,14510.493656336765,14920.573146922517,15843.25648457027,17366.563473217637,18254.784104244212,18366.293407947047,18135.926998858267,17816.498539408134,17843.955291952738,17808.882371817468
34,GRD,Grenada,3261,3272,3265,3260,3254,3233,3217,3180,3214,3234,3240,193.80015542622021,194.45297642038508,194.03730749579097,193.74053131268477,193.3843539697849,192.1369438279776,191.18533041242543,188.98689416762124,191.00806438909845,192.19694907549487,192.55281375940316
35,GTM,Guatemala,423743,413804,413318,416892,417223,416676,418069,421030,422715,422432,422436,24990.91363971793,24404.81849136858,24376.210365386916,24587.197572347253,24606.748273941892,24574.239741069323,24656.454138124234,24831.117350506513,24930.273326584622,24913.215632107884,24913.398915196984
36,GIN,Guinea,3799371,3793803,3743599,3762026,3745459,3728394,3690150,3692841,3687123,3665390,3651699,227454.6125883483,227119.98915994153,224113.34911107508,225218.69593757836,224225.58907803544,223202.72140357207,220911.06422571486,221073.7113473068,220730.3732934172,219426.85950383774,218606.22074389888
37,GNB,Guinea-Bissau,4609178,4620967,4561067,4534946,4533936,4542041,4511146,4490493,4507448,4527499,4487154,274461.25247765565,275160.3260963615,271593.31878109724,270038.2707344008,269977.9487052456,270460.7785440389,268621.1342687409,267390.4064926792,268400.5399079222,269593.7529416094,267190.04772440577
38,GUY,Guyana,504959,495435,491835,489777,488646,479149,480798,479345,474497,469796,465700,30419.89454142015,29845.25688029304,29627.694846288698,29503.271726814983,29434.962576729842,28863.621079263423,28963.49898061699,28875.86118954927,28583.394518988724,28299.877837198,28052.7356535832
39,HTI,Haiti,289929,271683,267696,267854,263627,257443,254177,255249,259189,261428,261079,16663.582212810856,15614.21698455892,15385.016279595397,15394.089827489981,15150.699514002981,14794.73721660873,14606.841270752555,14668.23165692134,14894.626977979991,15023.068934016797,15002.790908268977
40,HND,Honduras,1059147,1076315,1083549,1090996,1086539,1051577,1040087,1047473,1050417,1032996,1017818,62447.78379007866,63469.23999242103,63900.3029418353,64341.80709918979,64078.6626787999,62008.615972169515,61328.165349587514,61762.367673660134,61931.695876812926,60899.270388904966,60003.92441861
41,IND,India,7180146,7062516,6996170,7000456,6979492,7060812,7101789,7114176,7130847,7099849,7002740,411116.1105630185,404183.93772895186,400296.3746080157,400481.1400874106,399301.8230783662,403958.9765860093,406357.6282696927,407064.68454523385,408083.8867273552,406307.5171764619,400748.7235723538
42,IDN,Indonesia,51582328,49533672,48703877,48495479,48322035,47930656,47696092,47593642,47596995,47644395,47856052,3127368.7558380063,3003093.8261852614,2952758.2274034354,2940110.1920499825,2929573.5168849425,2905803.930163004,2891547.2118528546,2885319.2894711643,2885509.7415628857,2888378.1179793337,2901240.1461152397
43,IRN,Iran (Islamic Republic of),262103,215705,191983,193796,195663,201858,192449,190365,192991,200356,188510,14269.076523208036,11741.9978138354,10451.281180068336,10549.700929301649,10651.314799199163,10988.874675297422,10477.74469919858,10365.1378648567,10508.490196719687,10908.460279447081,10263.788223694903
